familia,nombre,Ag,bf,tf,h,hw,tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,g,fuente
DobleT,W12x35,66.45,16.7,1.32,31.8,26.7,0.762,11863.0,747.0,13.34,839.0,1020.0,122.0,3.91,188.0,30.8,236043.0,52.1,planilla_MC_2024
DobleT,W12x40,76.13,20.3,1.31,30.3,24.1,0.749,12903.0,850.0,13.03,942.0,1836.0,180.0,4.9,275.0,39.5,386692.0,59.5,planilla_MC_2024
DobleT,W12x45,85.16,20.4,1.46,30.6,24.1,0.851,14568.0,952.0,13.08,1060.0,2081.0,203.0,4.93,311.0,54.5,443084.0,67.0,planilla_MC_2024
DobleT,W12x50,94.84,20.5,1.63,31.0,24.1,0.94,16400.0,1060.0,13.16,1186.0,2343.0,228.0,4.98,351.0,74.1,504847.0,74.4,planilla_MC_2024
DobleT,W12x53,100.6,25.4,1.46,30.6,24.1,0.876,17690.0,1157.0,13.28,1277.0,3987.0,315.0,6.3,477.0,65.8,848573.0,78.9,planilla_MC_2024
DobleT,W12x58,109.7,25.4,1.63,31.0,24.1,0.914,19771.0,1278.0,13.41,1416.0,4454.0,351.0,6.38,533.0,87.4,958673.0,86.3,planilla_MC_2024
DobleT,W12x65,123.2,30.5,1.54,30.8,24.1,0.991,22185.0,1440.0,13.41,1586.0,7242.0,477.0,7.67,723.0,90.7,1552137.0,96.7,planilla_MC_2024
DobleT,W12x72,136.1,30.6,1.7,31.1,24.1,1.09,24849.0,1596.0,13.49,1770.0,8117.0,531.0,7.72,806.0,122.0,1756225.0,107.1,planilla_MC_2024
DobleT,W12x79,149.7,30.7,1.87,31.4,24.1,1.19,27555.0,1753.0,13.56,1950.0,8991.0,587.0,7.75,890.0,160.0,1968368.0,117.6,planilla_MC_2024
DobleT,W12x87,165.2,30.8,2.06,31.8,24.1,1.31,30801.0,1934.0,13.67,2163.0,10031.0,651.0,7.8,990.0,212.0,2220792.0,129.5,planilla_MC_2024
DobleT,W12x96,181.9,30.9,2.29,32.3,24.1,1.4,34672.0,2147.0,13.82,2409.0,11238.0,728.0,7.85,1106.0,286.0,2526923.0,142.9,planilla_MC_2024
DobleT,W14x109,206.5,37.1,2.18,36.4,28.6,1.33,51613.0,2835.0,15.8,3146.0,18606.0,1003.0,9.47,1519.0,296.0,5424425.0,162.2,planilla_MC_2024
DobleT,W14x120,227.7,37.3,2.39,36.8,28.6,1.5,57440.0,3114.0,15.85,3474.0,20603.0,1106.0,9.5,1671.0,390.0,6095764.0,178.6,planilla_MC_2024
DobleT,W14x132,250.3,37.4,2.62,37.2,28.6,1.64,63683.0,3425.0,15.95,3835.0,22809.0,1221.0,9.55,1852.0,512.0,6847665.0,196.4,planilla_MC_2024
DobleT,W14x145,275.5,39.4,2.77,37.5,28.6,1.73,71176.0,3802.0,16.8,4261.0,28179.0,1431.0,10.11,2179.0,633.0,8512587.0,215.8,planilla_MC_2024
DobleT,W14x159,301.3,39.5,3.02,38.0,28.6,1.89,79084.0,4162.0,16.21,4703.0,31134.0,1576.0,10.16,2393.0,824.0,9559877.0,236.6,planilla_MC_2024
DobleT,W14x176,334.2,39.8,3.33,38.7,28.6,2.11,89074.0,4605.0,16.33,5244.0,34880.0,1753.0,10.21,2671.0,1103.0,10875703.0,261.9,planilla_MC_2024
DobleT,W14x193,366.5,39.9,3.66,39.3,28.6,2.26,99896.0,5080.0,16.51,58.17,38751.0,1950.0,10.29,2950.0,1448.0,12325796.0,287.2,planilla_MC_2024
DobleT,W14x211,400.0,40.1,3.96,39.9,28.6,2.49,110718.0,5539.0,16.64,6391.0,42872.0,2130.0,10.34,3245.0,1856.0,13829597.0,314.0,planilla_MC_2024
DobleT,W14x22,41.87,12.7,0.851,34.9,30.5,0.584,8283.0,475.0,14.07,544.0,291.0,45.9,2.64,71.9,8.74,84320.0,32.7,planilla_MC_2024
DobleT,W14x233,441.9,40.4,4.37,40.7,28.6,2.72,125286.0,6145.0,16.84,7145.0,47867.0,2376.0,10.41,3622.0,2477.0,15843616.0,346.7,planilla_MC_2024
DobleT,W14X257,487.612,40.6273,4.8006,41.6052,28.6,2.9845,141519.0,6802.947708,17.0361,7980.5,53693.9,2643.242352,10.493619,4031.22,3292.39,28885686.278001,382.77542,planilla_MC_2024
DobleT,W14x26,49.61,12.8,1.07,35.3,30.5,0.648,10198.0,578.0,14.35,659.0,371.0,58.0,2.74,90.8,15.0,108757.0,38.7,planilla_MC_2024
DobleT,W14X283,537.289,40.9194,5.2578,42.5196,28.6,3.2766,159833.0,7518.085777,17.247623,8881.79,59937.3,2929.529759,10.561962,4490.06,4328.81,34263018.111553,421.771865,planilla_MC_2024
DobleT,W14x30,57.1,17.1,0.978,35.2,30.5,0.686,12112.0,688.0,14.55,775.0,816.0,95.4,3.78,147.0,15.8,238191.0,44.6,planilla_MC_2024
DobleT,W14X311,589.547,41.2242,5.7404,43.4848,28.6,3.5814,180228.0,8289.241298,17.484448,9881.4,67013.3,3251.163152,10.661573,4981.67,5660.75,40603418.74723,462.794395,planilla_MC_2024
DobleT,W14x34,64.52,17.1,1.16,35.5,30.5,0.724,14152.0,796.0,14.81,895.0,970.0,113.0,3.89,174.0,23.7,287333.0,50.6,planilla_MC_2024
DobleT,W14X342,651.483,41.5544,6.2738,44.5516,28.6,3.9116,203953.0,9155.810341,17.69349,11012.1,75337.9,3625.989065,10.753633,5538.83,7408.92,48454273.521516,511.414155,planilla_MC_2024
DobleT,W14X370,703.031,41.8465,6.7564,45.5168,28.6,4.2037,226430.0,9949.293448,17.946499,12060.9,82830.1,3958.758797,10.854426,6063.21,9240.34,56368918.864664,551.879335,planilla_MC_2024
DobleT,W14x38,72.26,17.2,1.31,35.8,30.5,0.787,16025.0,895.0,14.91,1008.0,1111.0,129.0,3.94,198.0,33.3,330229.0,56.6,planilla_MC_2024
DobleT,W14X398,754.644,42.1386,7.2263,46.4566,28.6,4.4958,249739.0,10751.497096,18.191651,13126.0,90322.2,4286.910339,10.940223,6587.6,11363.1,64925752.390611,592.39554,planilla_MC_2024
DobleT,W14X426,806.256,42.4053,7.7089,47.4218,28.6,4.7625,274713.0,11585.937269,18.458786,14240.4,98230.6,4632.93975,11.037912,7111.99,13777.3,74443812.043294,632.91096,planilla_MC_2024
DobleT,W14x43,81.29,20.3,1.35,34.7,27.9,0.775,17815.0,1027.0,14.78,1141.0,1881.0,185.0,4.8,283.0,43.7,523645.0,64.0,planilla_MC_2024
DobleT,W14X455,864.321,42.7609,8.1534,48.3108,28.6,5.1181,299270.0,12389.362213,18.607758,15338.3,106555.0,4983.758527,11.103231,7669.15,16441.1,84686537.763199,678.491985,planilla_MC_2024
DobleT,W14x48,90.97,20.4,1.51,35.0,27.9,0.864,20187.0,1152.0,14.86,1285.0,2139.0,210.0,4.85,321.0,60.8,601520.0,71.4,planilla_MC_2024
DobleT,W14X500,948.127,43.2054,8.89,49.784,28.6,5.5626,341726.0,13728.346457,18.984788,17206.4,119875.0,5549.074884,11.244264,8554.05,21394.3,102848036.051272,744.279695,planilla_MC_2024
DobleT,W14x53,100.6,20.5,1.68,35.4,27.9,0.94,22518.0,1275.0,14.96,1427.0,2402.0,234.0,4.88,361.0,80.7,682081.0,78.9,planilla_MC_2024
DobleT,W14X550,1044.9,43.688,9.7028,51.4096,28.6,6.0452,392506.0,15269.755065,19.381429,19336.7,135275.0,6192.776048,11.378143,9553.66,27887.5,125901529.944827,820.2465,planilla_MC_2024
DobleT,W14X605,1148.13,44.2341,10.5664,53.1368,28.6,6.5913,449530.0,16919.724184,19.787176,21630.9,153173.0,6925.561953,11.550361,10684.4,36212.1,154635744.400842,901.28205,planilla_MC_2024
DobleT,W14x61,115.5,25.4,1.64,35.3,27.9,0.953,26639.0,1511.0,15.19,1671.0,4454.0,352.0,6.22,537.0,91.6,1264804.0,90.8,planilla_MC_2024
DobleT,W14X665,1264.19,44.831,11.4808,54.9656,28.6,7.1882,516127.0,18780.000582,20.205617,24252.9,173569.0,7743.258013,11.717364,11962.6,46617.9,190300137.154664,992.38915,planilla_MC_2024
DobleT,W14x68,129.0,25.5,1.83,35.7,27.9,1.05,30094.0,1688.0,15.27,1885.0,5036.0,397.0,6.25,605.0,126.0,1444723.0,101.2,planilla_MC_2024
DobleT,W14X730,1386.77,45.4406,12.4714,56.9468,28.6,7.7978,595211.0,20904.106991,20.717305,27202.5,196461.0,8646.93688,11.902439,13371.8,60353.6,234953995.727573,1088.61445,planilla_MC_2024
DobleT,W14x74,140.6,25.6,1.99,36.0,27.9,1.14,33132.0,1835.0,15.34,2065.0,5578.0,436.0,6.3,665.0,161.0,1608530.0,110.1,planilla_MC_2024
DobleT,W14X808,1528.64,47.1424,13.0048,58.0136,28.6,9.4996,665970.0,22959.099246,20.872512,30053.9,229344.0,9729.839805,12.248731,15190.8,77419.0,286331592.549671,1199.9824,planilla_MC_2024
DobleT,W14x82,155.5,25.7,2.17,36.3,27.9,1.2,36712.0,2016.0,15.37,2278.0,6160.0,480.0,6.3,734.0,211.0,1801876.0,122.0,planilla_MC_2024
DobleT,W14x90,171.0,36.9,1.8,35.6,28.6,1.12,41582.0,2343.0,15.6,2573.0,15068.0,818.0,9.4,1239.0,169.0,4296574.0,133.9,planilla_MC_2024
DobleT,W14x99,187.7,37.0,1.98,36.0,28.6,1.23,46202.0,2573.0,15.67,2835.0,16733.0,905.0,9.42,1370.0,224.0,4833646.0,147.3,planilla_MC_2024
DobleT,W16X100,189.613,26.4795,2.5019,43.1038,34.6,1.4859,62018.5,2877.634918,18.085336,3244.64,7741.9,584.746691,6.389836,901.289,321.747,4025559.947038,148.846205,planilla_MC_2024
DobleT,W16X26,49.5483,13.97,0.8763,39.8526,34.6,0.635,12528.6,628.746932,15.901456,721.031,399.166,57.14617,2.838327,81.9353,10.822,165133.866636,38.895415,planilla_MC_2024
DobleT,W16X31,58.8386,14.0335,1.1176,40.3352,34.6,0.6985,15608.7,773.949305,16.287416,884.901,516.127,73.556419,2.961741,114.709,19.1466,221146.917578,46.188301,planilla_MC_2024
DobleT,W16X36,68.387,17.7419,1.0922,40.2844,34.6,0.7493,18647.2,925.77772,16.512774,1048.77,1019.77,114.956121,3.861574,180.258,22.4765,435111.852366,53.683795,planilla_MC_2024
DobleT,W16X40,76.1289,17.7673,1.2827,40.6654,34.6,0.7747,21560.8,1060.400242,16.828975,1196.26,1202.91,135.407181,3.975043,213.032,32.8823,527476.054066,59.761187,planilla_MC_2024
DobleT,W16X45,85.8063,17.8689,1.4351,40.9702,34.6,0.8763,24391.2,1190.680055,16.859978,1343.74,1365.24,152.806272,3.988824,245.806,46.2017,613486.002149,67.357945,planilla_MC_2024
DobleT,W16X50,94.8385,17.9578,1.6002,41.3004,34.6,0.9652,27429.7,1328.301905,17.006627,1507.61,1548.38,172.446513,4.040605,262.193,63.2672,710639.180035,74.448222,planilla_MC_2024
DobleT,W16X57,108.387,18.0848,1.8161,41.7322,34.6,1.0922,31550.3,1512.036269,17.06134,1720.64,1793.96,198.394232,4.068345,311.354,92.4034,848813.07278,85.083795,planilla_MC_2024
DobleT,W16X67,127.097,25.9969,1.6891,41.4782,34.6,1.0033,39708.5,1914.668428,17.675597,2130.32,4953.15,381.056972,6.242709,589.934,99.4793,2304191.563321,99.771145,planilla_MC_2024
DobleT,W16X77,145.742,26.1493,1.9304,41.9608,34.6,1.1557,46201.7,2202.13628,17.80478,2458.06,5743.99,439.322659,6.277901,671.87,148.595,2770583.091407,114.40747,planilla_MC_2024
DobleT,W16X89,168.967,26.3271,2.2225,42.545,34.6,1.3335,54110.1,2543.664355,17.895269,2867.74,6784.57,515.405799,6.336657,786.579,226.846,3386610.742504,132.639095,planilla_MC_2024
DobleT,W18X106,200.58,28.448,2.3876,47.5742,39.4,1.4986,79500.2,3342.156043,19.908581,3769.02,9157.09,643.777418,6.756705,999.611,311.341,5717177.810473,157.4553,planilla_MC_2024
DobleT,W18X119,226.387,28.6131,2.6924,48.1838,39.4,1.6637,91154.7,3783.624372,20.066138,4277.02,10530.7,736.075434,6.820291,1130.71,441.205,6802247.192011,177.713795,planilla_MC_2024
DobleT,W18X130,246.387,28.3464,3.048,48.895,39.4,1.7018,102393.0,4188.28101,20.385729,4768.64,11571.2,816.414077,6.852993,1261.8,611.86,7804615.50812,193.413795,planilla_MC_2024
DobleT,W18X143,271.548,28.4988,3.3528,49.5046,39.4,1.8542,114464.0,4624.378341,20.53105,5276.63,12944.8,908.445268,6.904375,1392.9,807.489,9034158.804039,213.16518,planilla_MC_2024
DobleT,W18X158,298.645,28.702,3.6576,50.0888,39.4,2.0574,127367.0,5085.647889,20.651464,5833.79,14443.2,1006.424639,6.954311,1556.77,1057.23,10409268.41056,234.436325,planilla_MC_2024
DobleT,W18X175,330.903,28.8925,4.0386,50.9016,39.4,2.2606,143600.0,5642.25879,20.831803,6522.05,16274.6,1126.562257,7.013016,1737.03,1423.51,12250545.76868,259.758855,planilla_MC_2024
DobleT,W18X192,363.806,29.0957,4.445,51.689,39.4,2.4384,161082.0,6232.738107,21.042076,7243.08,18314.2,1258.893926,7.095109,1950.06,1881.37,14374704.796396,285.58771,planilla_MC_2024
DobleT,W18X211,400.58,29.3497,4.8514,52.5018,39.4,2.6924,180228.0,6865.59318,21.211262,8029.66,20520.2,1398.324344,7.15725,2163.09,2468.25,16810558.792692,314.4553,planilla_MC_2024
DobleT,W18X234,443.741,29.591,5.3594,53.4924,39.4,2.9464,203953.0,7625.494463,21.43879,8996.5,23225.7,1569.781352,7.234685,2441.67,3317.36,20040260.242442,348.336685,planilla_MC_2024
DobleT,W18X258,489.547,29.8958,5.842,54.5084,39.4,3.2512,229344.0,8414.996588,21.644447,10012.5,26139.3,1748.693796,7.30718,2720.25,4328.81,23688696.030269,384.294395,planilla_MC_2024
DobleT,W18X283,536.644,30.2006,6.35,55.499,39.4,3.556,256399.0,9239.770086,21.858232,11077.7,29302.7,1940.537605,7.389426,3031.61,5619.12,27878831.155991,421.26554,planilla_MC_2024
DobleT,W18X311,590.192,30.4927,6.9596,56.6928,39.4,3.8608,289697.0,10219.886829,22.155183,12339.5,33090.4,2170.381764,7.487802,3392.12,7367.3,33311197.649947,463.30072,planilla_MC_2024
DobleT,W18X35,66.4515,15.24,1.0795,44.958,39.4,0.762,21227.8,944.339161,17.873109,1097.93,636.834,83.574016,3.095713,131.097,21.2278,337434.72222,52.164428,planilla_MC_2024
DobleT,W18X40,76.1289,15.2781,1.3335,45.466,39.4,0.8001,25473.4,1120.547222,18.292315,1278.19,795.002,104.070794,3.231538,163.871,33.7147,433982.532195,59.761187,planilla_MC_2024
DobleT,W18X46,87.0966,15.3924,1.5367,45.8724,39.4,0.9144,29635.7,1292.092849,18.446203,1491.22,936.521,121.686157,3.279126,196.645,50.7802,524831.983991,68.370831,planilla_MC_2024
DobleT,W18X50,94.8385,19.0373,1.4478,45.6946,39.4,0.9017,33298.5,1457.436984,18.73786,1655.09,1669.09,175.349446,4.19515,278.58,51.6127,924989.427834,74.448222,planilla_MC_2024
DobleT,W18X55,104.516,19.1262,1.6002,45.9994,39.4,0.9906,37044.6,1610.655791,18.826564,1835.35,1868.88,195.426169,4.228626,311.354,69.0944,1056953.081278,82.04506,planilla_MC_2024
DobleT,W18X60,113.548,19.1897,1.7653,46.3296,39.4,1.0541,40957.2,1768.079155,18.992205,2015.61,2085.32,217.337426,4.285452,344.128,90.3222,1202291.806757,89.13518,planilla_MC_2024
DobleT,W18X65,123.226,19.2786,1.905,46.609,39.4,1.143,44536.8,1911.081551,19.011147,2179.48,2280.95,236.630253,4.30236,376.902,113.631,1338580.159501,96.73241,planilla_MC_2024
DobleT,W18X71,134.193,19.3929,2.0574,46.9138,39.4,1.2573,48699.1,2076.109801,19.050024,2376.12,2509.88,258.845247,4.324755,409.677,144.849,1499399.149607,105.341505,planilla_MC_2024
DobleT,W18X76,143.806,28.0289,1.7272,46.2534,39.4,1.0795,55358.8,2393.718083,19.620263,2671.09,6326.72,451.442618,6.63286,688.257,117.793,3648218.985066,112.88771,planilla_MC_2024
DobleT,W18X86,163.161,28.1686,1.9558,46.7106,39.4,1.2192,63683.4,2726.721558,19.756269,3047.99,7284.05,517.175152,6.681566,786.579,170.655,4313873.752384,128.081385,planilla_MC_2024
DobleT,W18X97,183.806,28.3083,2.2098,47.2186,39.4,1.3589,72840.5,3085.246068,19.907037,3457.67,8366.25,591.081061,6.74661,901.289,243.912,5103124.935647,144.28771,planilla_MC_2024
DobleT,W21X101,192.193,31.2166,2.032,54.2544,46.4,1.27,100728.0,3713.173494,22.893191,4145.93,10322.5,661.346848,7.328645,1016.0,216.857,8159737.840321,150.871505,planilla_MC_2024
DobleT,W21X111,210.903,31.3436,2.2225,54.6354,46.4,1.397,111134.0,4068.204864,22.955254,4571.99,11404.7,727.72113,7.353609,1114.32,284.286,9218468.745053,165.558855,planilla_MC_2024
DobleT,W21X122,231.548,31.4706,2.4384,55.0672,46.4,1.524,123205.0,4474.714531,23.067135,5030.83,12695.1,806.7911,7.404531,1245.42,373.776,10471986.054821,181.76518,planilla_MC_2024
DobleT,W21X132,250.258,31.5976,2.6289,55.4482,46.4,1.651,134027.0,4834.313828,23.142068,5456.89,13860.5,877.313467,7.442099,1343.74,470.342,11655608.736188,196.45253,planilla_MC_2024
DobleT,W21X147,278.645,31.7754,2.921,56.0324,46.4,1.8288,151092.0,5393.022608,23.286012,6112.37,15650.3,985.057623,7.49438,1524.0,640.996,13570976.809291,218.736325,planilla_MC_2024
DobleT,W21X166,314.774,31.5468,3.4544,57.0992,46.4,1.905,178147.0,6239.912293,23.789747,7079.21,18106.1,1147.888217,7.584257,1769.8,994.793,16569418.073314,247.09759,planilla_MC_2024
DobleT,W21X182,345.741,31.75,3.7592,57.7088,46.4,2.1082,196877.0,6823.118831,23.862836,7800.24,20104.0,1266.393701,7.625456,1950.06,1294.48,18941464.064388,271.406685,planilla_MC_2024
DobleT,W21X201,381.87,31.9405,4.1402,58.4962,46.4,2.3114,221019.0,7556.695991,24.057862,8685.14,22559.7,1412.607818,7.686151,2179.48,1719.04,22054072.001629,299.76795,planilla_MC_2024
DobleT,W21X44,83.8708,16.51,1.143,52.4764,46.4,0.889,35088.3,1337.29829,20.453883,1556.77,861.599,104.372986,3.205141,163.871,32.0498,616197.750195,65.838578,planilla_MC_2024
DobleT,W21X50,94.8385,16.5862,1.3589,52.9082,46.4,0.9652,40957.2,1548.236379,20.781304,1802.58,1036.42,124.973773,3.305792,196.645,47.4504,760834.466232,74.448222,planilla_MC_2024
DobleT,W21X57,107.742,16.6497,1.651,53.4924,46.4,1.0287,48699.1,1820.785756,21.26023,2113.93,1273.67,152.99615,3.438238,245.806,73.673,965477.48318,84.57747,planilla_MC_2024
DobleT,W21X62,118.064,20.9296,1.5621,53.3146,46.4,1.016,55358.8,2076.684435,21.653823,2359.74,2393.33,228.70289,4.502384,360.515,76.1704,1797034.232143,92.68024,planilla_MC_2024
DobleT,W21X68,129.032,21.0058,1.7399,53.6702,46.4,1.0922,61602.3,2295.58675,21.849915,2621.93,2693.02,256.407278,4.568473,393.29,101.977,2063044.485607,101.29012,planilla_MC_2024
DobleT,W21X73,138.709,21.0693,1.8796,53.9496,46.4,1.1557,66597.0,2468.859825,21.911646,2818.58,2938.59,278.945195,4.602748,442.451,125.702,2283112.569325,108.886565,planilla_MC_2024
DobleT,W21X83,156.709,21.2217,2.1209,54.4322,46.4,1.3081,76170.4,2798.725754,22.04683,3211.86,3388.12,319.307124,4.64978,507.999,180.644,2701234.545084,123.016565,planilla_MC_2024
DobleT,W21X93,176.064,21.3868,2.3622,54.9148,46.4,1.4732,86159.9,3137.94824,22.12164,3621.54,3866.79,361.605289,4.686407,573.547,250.988,3158663.584022,138.21024,planilla_MC_2024
DobleT,W24X103,195.419,22.86,2.4892,62.3062,53.3,1.397,124869.0,4008.23674,25.278071,4588.38,4953.15,433.346457,5.034512,688.257,295.524,5201942.881535,153.403915,planilla_MC_2024
DobleT,W24X104,197.354,32.385,1.905,61.1124,53.3,1.27,129032.0,4222.776392,25.569707,4735.86,10780.4,665.765015,7.390851,1016.0,196.461,10706225.938256,154.92289,planilla_MC_2024
DobleT,W24X117,221.871,32.512,2.159,61.6204,53.3,1.397,147346.0,4782.377265,25.770266,5358.57,12362.1,760.463829,7.464416,1163.48,279.708,12575733.288524,174.168735,planilla_MC_2024
DobleT,W24X131,248.322,32.6517,2.4384,62.1792,53.3,1.5367,167325.0,5382.024857,25.958095,6063.21,14151.9,866.840011,7.54918,1343.74,395.42,14767696.146905,194.93277,planilla_MC_2024
DobleT,W24X146,277.354,32.766,2.7686,62.8396,53.3,1.651,190634.0,6067.320607,26.216998,6849.79,16274.6,993.383385,7.660162,1524.0,557.75,17467690.938031,217.72289,planilla_MC_2024
DobleT,W24X162,307.677,32.9057,3.0988,63.5,53.3,1.7907,215192.0,6777.700787,26.446338,7669.15,18439.1,1120.723765,7.741451,1720.64,770.028,20404620.194479,241.526445,planilla_MC_2024
DobleT,W24X176,333.483,32.7406,3.4036,64.1096,53.3,1.905,236419.0,7375.463269,26.625903,8373.79,19937.5,1217.906819,7.732118,1884.51,1003.12,22686346.534017,261.784155,planilla_MC_2024
DobleT,W24X192,363.161,32.893,3.7084,64.6938,53.3,2.0574,260561.0,8055.207763,26.78583,9160.37,22060.3,1341.337063,7.793923,2064.77,1290.32,25729178.849949,285.081385,planilla_MC_2024
DobleT,W24X207,391.548,33.0454,3.9878,65.3034,53.3,2.2098,283870.0,8693.881176,26.925715,9930.56,24058.2,1456.069529,7.83861,2245.03,1606.65,28787989.265212,307.36518,planilla_MC_2024
DobleT,W24X229,433.418,33.2994,4.3942,66.0908,53.3,2.4384,318417.0,9635.743553,27.104703,11077.7,27096.7,1627.458753,7.906872,2523.61,2156.08,33586999.756547,340.23313,planilla_MC_2024
DobleT,W24X250,474.064,33.4899,4.8006,66.9036,53.3,2.6416,353380.0,10563.856056,27.302505,12192.0,30135.2,1799.659002,7.972941,2802.19,2801.24,38629138.336956,372.14024,planilla_MC_2024
DobleT,W24X279,528.902,33.7947,5.3086,67.8942,53.3,2.9464,399582.0,11770.725629,27.486241,13683.2,34255.8,2027.288303,8.047842,3162.7,3816.84,45747770.499325,415.18807,planilla_MC_2024
DobleT,W24X335,634.708,34.3408,6.2992,69.9008,53.3,3.5052,495315.0,14171.940808,27.935327,16714.8,42871.8,2496.843405,8.218619,3900.12,6409.96,61718494.403473,498.24578,planilla_MC_2024
DobleT,W24X408,767.547,35.052,7.5946,72.4916,53.3,4.191,628509.0,17340.18838,28.615627,20483.8,54942.5,3134.913842,8.460611,4916.12,11279.9,87407248.051711,602.524395,planilla_MC_2024
DobleT,W24X492,928.772,35.8521,8.9916,75.311,53.3,5.0038,795002.0,21112.506805,29.256984,25399.9,69510.6,3877.630599,8.651093,6145.15,18980.2,122701952.157731,729.08602,planilla_MC_2024
DobleT,W24X55,104.516,17.7927,1.2827,59.8678,53.3,1.0033,56191.2,1877.176045,23.186904,2195.87,1211.23,136.149095,3.404254,213.032,49.1153,1125743.496223,82.04506,planilla_MC_2024
DobleT,W24X62,117.419,17.8816,1.4986,60.2996,53.3,1.0922,64515.9,2139.84504,23.440355,2507.22,1436.0,160.612026,3.4971,262.193,71.1756,1363468.989707,92.173915,planilla_MC_2024
DobleT,W24X68,129.677,22.7711,1.4859,60.2742,53.3,1.0541,76170.4,2527.462828,24.236039,2900.51,2930.27,257.367453,4.753597,409.677,77.8353,2788344.01053,101.796445,planilla_MC_2024
DobleT,W24X76,144.451,22.8346,1.7272,60.7568,53.3,1.1176,87408.6,2877.327312,24.598963,3277.41,3433.91,300.763753,4.875669,475.225,111.55,3345409.301864,113.394035,planilla_MC_2024
