familia,nombre,Ag,bf,tf,h,hw,tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,g,fuente
DobleT,W24X84,159.29,22.9108,1.9558,61.214,53.3,1.1938,98646.8,3223.014343,24.88555,3670.7,3929.22,343.001554,4.966597,540.773,154.006,3910686.177591,125.04265,planilla_MC_2024
DobleT,W24X94,178.645,23.0251,2.2225,61.7474,53.3,1.3081,112382.0,3640.0561,25.081468,4162.31,4536.92,394.084716,5.039473,622.708,218.938,4625795.685437,140.236325,planilla_MC_2024
DobleT,W27X102,193.483,25.4381,2.1082,68.8086,61.0,1.3081,150676.0,4379.568833,27.906196,4998.05,5785.62,454.878312,5.468315,704.644,220.186,7271982.735896,151.884155,planilla_MC_2024
DobleT,W27X114,216.064,25.5778,2.3622,69.3166,61.0,1.4478,170239.0,4911.925859,28.069736,5620.76,6618.08,517.486258,5.534454,802.966,305.098,8462066.560479,169.61024,planilla_MC_2024
DobleT,W27X129,243.806,25.4254,2.794,70.1802,61.0,1.5494,198126.0,5646.207905,28.506805,6472.89,7658.66,602.441653,5.604724,950.45,466.179,10189602.153523,191.38771,planilla_MC_2024
DobleT,W27X146,276.709,35.4711,2.4765,69.5452,61.0,1.5367,234338.0,6739.156692,29.101121,7554.44,18439.1,1039.668914,8.163158,1605.93,453.692,23887890.359413,217.216565,planilla_MC_2024
DobleT,W27X161,305.741,35.6108,2.7432,70.0786,61.0,1.6764,261393.0,7459.99492,29.239513,8390.18,20686.7,1161.821695,8.225622,1786.19,611.86,27372485.871716,240.006685,planilla_MC_2024
DobleT,W27X178,337.354,35.7759,3.0226,70.6374,61.0,1.8415,290946.0,8237.732419,29.367249,9291.47,23100.8,1291.416848,8.275049,1999.22,811.651,31289928.385753,264.82289,planilla_MC_2024
DobleT,W27X194,367.677,35.6489,3.4036,71.3994,61.0,1.905,325493.0,9117.527598,29.753468,10291.1,25723.1,1443.135693,8.364277,2228.64,1103.01,35950398.231247,288.626445,planilla_MC_2024
DobleT,W27X217,411.483,35.8521,3.81,72.2122,61.0,2.1082,369197.0,10225.335885,29.953883,11602.0,29302.7,1634.643438,8.438745,2523.61,1540.06,42280332.906511,323.014155,planilla_MC_2024
DobleT,W27X235,445.677,36.0426,4.0894,72.7964,61.0,2.3114,402080.0,11046.700112,30.036279,12601.7,31966.6,1773.823198,8.469117,2753.03,1927.15,47161646.892776,349.856445,planilla_MC_2024
DobleT,W27X258,488.257,36.2458,4.4958,73.6092,61.0,2.4892,449530.0,12213.962385,30.342761,13929.0,35754.3,1972.879616,8.557362,3064.38,2539.01,54415983.629637,383.281745,planilla_MC_2024
DobleT,W27X307,581.805,36.6903,5.3086,75.2094,61.0,2.9464,545263.0,14499.863049,30.613592,16714.8,43704.3,2382.335386,8.667091,3719.86,4203.94,70828575.453225,456.716925,planilla_MC_2024
DobleT,W27X368,696.579,37.2491,6.2992,77.1906,61.0,3.5052,670133.0,17363.072706,31.01668,20320.0,54526.3,2927.657313,8.847444,4571.99,7034.31,94555838.225149,546.814515,planilla_MC_2024
DobleT,W27X448,844.966,37.9476,7.5946,79.8068,61.0,4.191,849112.0,21279.189242,31.700264,25072.2,69510.6,3663.504411,9.069971,5751.86,12362.1,132094088.984538,663.29831,planilla_MC_2024
DobleT,W27X539,1019.09,38.7477,8.9916,82.6008,61.0,5.0038,1061390.0,25699.266835,32.272397,30807.7,87824.8,4533.161968,9.283298,7161.15,20769.9,182844710.313231,799.98565,planilla_MC_2024
DobleT,W27X84,159.935,25.2984,1.6256,67.8434,61.0,1.1684,118626.0,3497.053509,27.234423,3998.44,4412.05,348.800715,5.252287,540.773,116.961,5292534.632861,125.548975,planilla_MC_2024
DobleT,W27X94,178.645,25.3746,1.8923,68.3768,61.0,1.2446,136108.0,3981.116402,27.602371,4555.6,5161.27,406.806019,5.375054,639.095,167.741,6360703.395093,140.236325,planilla_MC_2024
DobleT,W30X108,204.451,26.6065,1.9304,75.7682,67.9,1.3843,186055.0,4911.163258,30.166578,5669.92,6076.98,456.804164,5.451918,721.031,207.699,9145884.21862,160.494035,planilla_MC_2024
DobleT,W30X116,220.58,26.6573,2.159,76.2254,67.9,1.4351,205202.0,5384.08457,30.500554,6194.31,6826.2,512.144891,5.562966,802.966,267.637,10470059.649624,173.1553,planilla_MC_2024
DobleT,W30X124,235.419,26.7081,2.3622,76.6318,67.9,1.4859,223100.0,5822.648039,30.784282,6685.92,7533.79,564.15769,5.656998,884.901,332.569,11700990.201975,184.803915,planilla_MC_2024
DobleT,W30X132,250.903,26.7843,2.54,76.9874,67.9,1.5621,240166.0,6239.098866,30.938755,7161.15,8158.14,609.173284,5.702203,950.45,404.577,12861657.6519,196.958855,planilla_MC_2024
DobleT,W30X148,280.58,26.6192,2.9972,77.9018,67.9,1.651,278043.0,7138.294622,31.479486,8193.53,9448.45,709.897367,5.802991,1114.32,607.698,15416145.002822,220.2553,planilla_MC_2024
DobleT,W30X173,327.677,38.0619,2.7051,77.3176,67.9,1.6637,341310.0,8828.778958,32.273906,9914.17,24890.6,1307.901077,8.715548,2015.61,636.834,39798790.649021,257.226445,planilla_MC_2024
DobleT,W30X191,361.87,38.2016,3.0099,77.9272,67.9,1.8034,381684.0,9795.912082,32.476984,11028.5,28012.4,1466.556375,8.798302,2261.41,857.437,45801611.933489,284.06795,planilla_MC_2024
DobleT,W30X211,399.935,38.3667,3.3401,78.5876,67.9,1.9685,428718.0,10910.576223,32.740941,12273.9,31508.7,1642.502483,8.876066,2523.61,1161.29,52756149.722841,313.948975,planilla_MC_2024
DobleT,W30X235,445.031,38.2397,3.81,79.502,67.9,2.1082,486991.0,12251.03771,33.079987,13847.1,35587.8,1861.301213,8.942428,2867.74,1664.93,61612989.853879,349.349335,planilla_MC_2024
DobleT,W30X261,494.709,38.4937,4.191,80.2894,67.9,2.3622,545263.0,13582.440521,33.199237,15420.2,39916.6,2073.928981,8.982596,3211.86,2239.33,71086529.81927,388.346565,planilla_MC_2024
DobleT,W30X292,552.773,38.7477,4.699,81.3054,67.9,2.5908,620185.0,15255.690274,33.495558,17370.3,45785.5,2363.262852,9.10103,3654.32,3117.57,84250663.525628,433.926805,planilla_MC_2024
DobleT,W30X326,617.289,39.0398,5.207,82.296,67.9,2.8956,699269.0,16993.997278,33.657191,19500.6,51612.7,2644.106783,9.143954,4129.54,4287.18,98842785.100493,484.571865,planilla_MC_2024
DobleT,W30X391,735.289,39.5986,6.1976,84.3026,67.9,3.4544,861599.0,20440.626979,34.231313,23433.5,64515.9,3258.493987,9.367083,5079.99,7242.43,131326047.817474,577.201865,planilla_MC_2024
DobleT,W30X477,903.03,40.2971,7.493,86.8934,67.9,4.1402,1086360.0,25004.430716,34.684528,29332.8,81997.6,4069.652655,9.529047,6390.95,12778.3,182005584.599548,708.87855,planilla_MC_2024
DobleT,W30X90,170.258,26.416,1.5494,75.0062,67.9,1.1938,150676.0,4017.694537,29.74872,4637.54,4786.66,362.406118,5.302278,573.547,121.54,6974408.916025,133.65253,planilla_MC_2024
DobleT,W30X99,187.677,26.543,1.7018,75.311,67.9,1.3208,166076.0,4410.404855,29.747325,5112.76,5327.76,401.443695,5.328032,639.095,156.919,7864536.384058,147.326445,planilla_MC_2024
DobleT,W33X118,223.806,29.1592,1.8796,83.4644,75.6,1.397,245577.0,5884.592713,33.12516,6800.63,7783.53,533.864441,5.897289,835.74,220.603,14142526.354063,175.68771,planilla_MC_2024
DobleT,W33X130,247.032,29.2354,2.1717,84.0486,75.6,1.4732,279291.0,6645.940563,33.624192,7652.76,9073.85,620.744029,6.06065,983.224,306.763,16808724.910904,193.92012,planilla_MC_2024
DobleT,W33X141,268.322,29.2989,2.4384,84.582,75.6,1.5367,310092.0,7332.340214,33.995164,8422.95,10239.3,698.954568,6.177418,1097.93,403.744,19350393.670921,210.63277,planilla_MC_2024
DobleT,W33X152,288.322,29.3751,2.6797,85.0646,75.6,1.6129,339645.0,7985.57802,34.32209,9160.37,11363.1,773.655239,6.27783,1212.64,516.127,21789678.52957,226.33277,planilla_MC_2024
DobleT,W33X169,319.29,29.21,3.0988,85.9028,75.6,1.7018,386679.0,9002.71004,34.800272,10307.5,12903.2,883.478261,6.357056,1376.51,736.73,25490162.536779,250.64265,planilla_MC_2024
DobleT,W33X201,381.225,39.9923,2.921,85.5472,75.6,1.8161,478666.0,11190.687714,35.434442,12650.8,31175.7,1559.085124,9.043102,2408.9,853.274,60928970.803504,299.261625,planilla_MC_2024
DobleT,W33X221,419.225,40.1447,3.2385,86.1822,75.6,1.9685,532776.0,12363.945223,35.649114,14010.9,34963.4,1741.86879,9.132365,2687.48,1144.64,69806110.535543,329.091625,planilla_MC_2024
DobleT,W33X241,457.289,40.2844,3.556,86.8172,75.6,2.1082,591049.0,13615.942463,35.951446,15387.5,38792.8,1925.94652,9.210436,2982.45,1490.11,79111665.959736,358.971865,planilla_MC_2024
DobleT,W33X263,499.225,40.1447,3.9878,87.7062,75.6,2.2098,657646.0,14996.568088,36.295094,17042.5,42871.8,2135.863514,9.266969,3310.19,2018.72,90383387.589753,391.891625,planilla_MC_2024
DobleT,W33X291,552.128,40.3987,4.3942,88.4936,75.6,2.4384,736730.0,16650.469638,36.528706,18845.1,48282.8,2390.31454,9.351394,3703.48,2705.5,104156913.560546,433.42048,planilla_MC_2024
DobleT,W33X318,603.096,40.6019,4.8006,89.3064,75.6,2.6416,811651.0,18176.771206,36.685246,20811.6,53693.9,2644.895929,9.435594,4096.77,3512.99,118567922.018681,473.43036,planilla_MC_2024
DobleT,W33X354,670.773,40.894,5.3086,90.297,75.6,2.9464,911547.0,20189.973089,36.86394,23269.6,60769.8,2972.064362,9.518228,4621.15,4786.66,138265618.825763,526.556805,planilla_MC_2024
DobleT,W36X135,256.064,30.353,2.0066,90.297,81.6,1.524,324661.0,7190.958725,35.607444,8341.02,9365.21,617.086285,6.04762,983.224,290.946,19920109.027668,201.01024,planilla_MC_2024
DobleT,W36X150,285.096,30.4165,2.3876,91.059,81.6,1.5875,376273.0,8264.378041,36.329211,9520.88,11238.2,738.954186,6.278455,1163.48,420.394,24445844.986489,223.80036,planilla_MC_2024
DobleT,W36X160,303.161,30.48,2.5908,91.4654,81.6,1.651,405826.0,8873.869245,36.587545,10225.5,12278.8,805.695538,6.364163,1261.8,516.127,27042223.136499,237.981385,planilla_MC_2024
DobleT,W36X170,322.515,30.5562,2.794,91.8718,81.6,1.7272,437043.0,9514.192603,36.811806,10946.6,13319.4,871.796886,6.426394,1376.51,628.509,29764556.147972,253.174275,planilla_MC_2024
DobleT,W36X182,345.741,30.6705,2.9972,92.2782,81.6,1.8415,470342.0,10194.000316,36.883442,11765.9,14443.2,941.830097,6.463329,1491.22,765.866,32706088.824427,271.406685,planilla_MC_2024
DobleT,W36X194,367.677,30.7721,3.2004,92.6846,81.6,1.9431,503640.0,10867.82486,37.010664,12568.9,15608.7,1014.470901,6.515536,1605.93,924.034,35724468.030611,288.626445,planilla_MC_2024
DobleT,W36X210,398.644,30.9372,3.4544,93.1926,81.6,2.1082,549425.0,11791.17226,37.124584,13650.4,17107.1,1105.924259,6.550819,1753.42,1165.45,39808989.478446,312.93554,planilla_MC_2024
DobleT,W36X230,435.999,41.8338,3.2004,91.186,79.9,1.9304,624347.0,13693.922313,37.841668,15453.0,19479.6,931.285229,6.684167,2884.12,1190.42,86974874.604385,342.259215,planilla_MC_2024
DobleT,W36X232,439.225,30.7848,3.9878,94.2848,81.6,2.2098,699269.0,14833.122624,39.900525,15338.3,21977.0,1427.782542,7.073603,1999.22,1656.6,46816185.94141,344.791625,planilla_MC_2024
DobleT,W36X245,465.031,41.9354,3.429,91.6432,79.9,2.032,624347.0,13625.604518,36.6414,16550.9,39125.8,1866.003424,9.172562,3113.54,1440.16,95236998.685448,365.049335,planilla_MC_2024
DobleT,W36X256,486.322,31.0261,4.3942,95.0722,81.6,2.4384,670133.0,14097.349173,37.120904,17042.5,42039.4,2709.937762,9.297502,2245.03,2218.51,54100707.090616,381.76277,planilla_MC_2024
DobleT,W36X260,493.418,42.037,3.6576,92.1004,79.9,2.1336,720080.0,15636.848483,38.201717,17698.0,45369.2,2158.536527,9.588994,3342.96,1727.36,103807861.601462,387.33313,planilla_MC_2024
DobleT,W36X280,531.483,42.1513,3.9878,92.7608,79.9,2.2479,786677.0,16961.410423,38.472777,19172.9,49947.8,2369.929279,9.694234,3654.32,2189.38,116478139.745288,417.214155,planilla_MC_2024
DobleT,W36X300,569.547,42.3037,4.2672,93.3196,79.9,2.4003,844950.0,18108.736,38.516846,20647.7,54110.1,2558.173399,9.747077,3949.28,2672.21,128188472.314947,447.094395,planilla_MC_2024
DobleT,W36X328,621.805,42.2402,4.699,94.2086,79.9,2.5908,936521.0,19881.85792,38.808929,22614.1,59104.9,2798.514212,9.749552,4342.57,3517.16,144354866.171671,488.116925,planilla_MC_2024
DobleT,W36X359,677.224,42.4942,5.1054,94.996,79.9,2.8448,1032250.0,21732.494,39.04148,24744.5,65348.3,3075.633851,9.823155,4785.02,4536.92,163564032.107106,531.62084,planilla_MC_2024
DobleT,W36X393,741.74,42.7482,5.588,96.012,79.9,3.0988,1144640.0,23843.686206,39.283358,27202.5,72840.5,3407.88618,9.909702,5325.8,5952.11,187752647.373739,582.2659,planilla_MC_2024
DobleT,W36X439,825.611,43.0911,6.1976,97.1804,79.9,3.4544,1290320.0,26555.148981,39.53311,30479.9,82830.1,3844.417989,10.016278,6014.05,8116.51,220816384.493005,648.104635,planilla_MC_2024
DobleT,W36X527,993.288,43.7388,7.3914,99.5934,79.9,4.0894,1594170.0,32013.567164,40.061732,37198.6,103642.0,4739.133218,10.21481,7439.73,13735.6,294958022.788949,779.73108,planilla_MC_2024
DobleT,W36X650,1225.48,44.6405,8.9916,102.794,79.9,5.0038,2035370.0,39600.949472,40.753843,46539.3,134443.0,6023.364434,10.474082,9504.5,24973.9,416470852.861786,962.0018,planilla_MC_2024
DobleT,W36X798,1509.29,45.6946,10.8966,106.604,79.9,6.0452,2605610.0,48883.906795,41.549745,58501.8,174817.0,7651.538694,10.76231,12175.6,44536.8,598073521.798746,1184.79265,planilla_MC_2024
DobleT,W36X848,1606.06,46.0502,11.5062,107.823,79.9,6.4008,2805400.0,52037.134934,41.794248,62762.5,189385.0,8225.154288,10.859052,13093.3,52861.4,666666599.502159,1260.7571,planilla_MC_2024
DobleT,W40X149,282.516,29.9974,2.1082,97.028,87.5,1.6002,407074.0,8390.856248,37.959035,9783.08,9531.7,635.501743,5.808496,1016.0,399.582,23303220.564955,221.77506,planilla_MC_2024
DobleT,W40X167,316.709,29.9974,2.6035,98.0186,87.5,1.651,482828.0,9851.762829,39.045053,11339.8,11779.3,785.354731,6.098591,1245.42,582.724,29647217.314399,248.616565,planilla_MC_2024
DobleT,W40X174,329.612,40.005,2.1082,97.028,87.5,1.651,553588.0,11410.891701,40.981875,11716.8,13985.4,699.182602,6.513823,1753.42,466.179,55272349.690051,258.74542,planilla_MC_2024
DobleT,W40X183,346.386,29.9974,3.0988,99.0092,87.5,1.651,645159.0,13032.304069,43.157195,12798.3,16233.0,1082.293799,6.845722,1474.84,815.814,36337302.782692,271.91301,planilla_MC_2024
DobleT,W40X199,376.709,40.005,2.7051,98.2218,87.5,1.651,724243.0,14747.092804,43.846926,14224.0,18480.7,923.91951,7.004162,2245.03,753.379,73507012.926345,295.716565,planilla_MC_2024
DobleT,W40X211,399.935,29.9974,3.5941,99.9998,87.5,1.905,807489.0,16149.8123,44.933847,14830.3,20520.2,1368.131905,7.163019,1720.64,1265.34,43380856.663677,313.948975,planilla_MC_2024
DobleT,W40X215,408.257,40.005,3.0988,99.0092,87.5,1.651,853274.0,17236.256833,45.71697,15780.7,21685.7,1084.149481,7.288194,2556.38,1015.6,86187576.545478,320.481745,planilla_MC_2024
DobleT,W40X235,444.386,30.2006,4.0005,100.813,87.5,2.1082,1028090.0,20395.980677,48.098926,16550.9,26888.6,1780.666609,7.778644,1933.67,1719.04,50441058.740045,348.84301,planilla_MC_2024
DobleT,W40X249,472.773,40.005,3.6068,100.025,87.5,1.905,1244530.0,24884.378905,51.306968,18353.5,33423.4,1670.96113,8.408122,2982.45,1585.84,103333163.814347,371.126805,planilla_MC_2024
DobleT,W40X264,500.515,30.3022,4.3942,101.6,87.5,2.4384,1510920.0,29742.519685,54.942977,18517.4,42039.4,2774.676426,9.164731,2163.09,2335.06,57234153.18846,392.904275,planilla_MC_2024
DobleT,W40X277,524.386,40.2082,4.0005,100.813,87.5,2.1082,507802.0,10074.137264,31.118715,20483.8,22518.1,1120.07501,6.553002,3342.96,2143.59,119036835.893436,411.64301,planilla_MC_2024
DobleT,W40X278,527.612,30.4038,4.5974,102.006,87.5,2.5908,620185.0,12159.774915,34.284932,19500.6,28928.1,1902.926608,7.404617,2294.19,2693.02,61182435.831633,414.17542,planilla_MC_2024
DobleT,W40X297,563.741,40.1955,4.191,101.194,87.5,2.3622,695106.0,13738.087238,35.114437,21794.8,33132.0,1648.542747,7.666268,3523.22,2547.34,125949464.334803,442.536685,planilla_MC_2024
DobleT,W40X321,606.967,40.4114,4.4958,101.803,87.5,2.54,811651.0,15945.522234,36.568077,23269.6,38543.0,1907.531043,7.96875,3834.57,3138.38,139689625.723882,476.469095,planilla_MC_2024
DobleT,W40X331,629.547,30.9118,5.4102,103.607,87.5,3.0988,911547.0,17596.243497,38.051822,23433.5,43288.1,2800.749228,8.292208,2818.58,4412.05,79134344.57775,494.194395,planilla_MC_2024
DobleT,W40X372,703.031,40.7924,5.207,103.2,87.5,2.9464,965657.0,18714.282946,37.061604,27366.4,45369.2,2224.39474,8.033288,4539.22,4828.28,173072776.534366,551.879335,planilla_MC_2024
DobleT,W40X392,741.74,31.3944,6.4008,105.588,87.5,3.6068,1044740.0,19788.991173,37.529974,28021.9,49531.5,3155.435364,8.171747,3474.06,7159.18,103497237.963987,582.2659,planilla_MC_2024
DobleT,W40X431,819.16,41.1988,5.9944,104.8,87.5,3.4036,1232050.0,23512.40458,38.781964,31954.8,59104.9,2869.253473,8.494296,5358.57,7367.3,214399514.331288,643.0406,planilla_MC_2024
DobleT,W40X466,883.676,32.1056,7.493,107.798,87.5,4.2418,1448490.0,26874.153509,40.486592,33593.5,70343.1,4381.983205,8.922041,4293.41,11529.6,137333875.198015,693.68566,planilla_MC_2024
DobleT,W40X503,954.579,41.7068,7.0104,106.807,87.5,3.9116,1735690.0,32501.427809,42.641271,37690.2,85327.4,4091.774003,9.454495,6456.5,11612.9,274517153.03044,749.344515,planilla_MC_2024
DobleT,W40X593,1122.32,42.3926,8.2042,109.195,87.5,4.5466,2097810.0,38423.187875,43.233931,45228.3,104890.0,4948.505164,9.667378,7882.18,18522.3,358942953.580697,881.0212,planilla_MC_2024
DobleT,W44X230,436.644,40.005,3.0988,108.991,97.6,1.8034,865761.0,15886.834693,44.528212,18025.8,33132.0,1656.392951,8.710841,2572.77,1036.42,103862152.360372,342.76554,planilla_MC_2024
DobleT,W44X262,497.934,40.005,3.6068,110.007,97.6,2.0066,1007280.0,18313.016444,44.976869,20811.6,38584.7,1928.993876,8.802817,2998.83,1569.19,124198346.822427,390.87819,planilla_MC_2024
DobleT,W44X290,553.418,40.2082,4.0132,110.795,97.6,2.2098,1127990.0,20361.749176,45.146697,23269.6,43704.3,2173.899851,8.886596,3375.74,2143.59,143274622.313469,434.43313,planilla_MC_2024
DobleT,W44X335,634.063,40.513,4.4958,111.811,97.6,2.5908,1294480.0,23154.78799,45.183666,26547.0,49947.8,2465.766544,8.875483,3867.35,3096.76,168495833.8683,497.739455,planilla_MC_2024
DobleT,W4x13,24.71,10.3,0.876,10.6,6.99,0.711,470.0,89.5,4.37,103.0,161.0,31.1,2.54,47.9,6.24,3760.0,19.3,planilla_MC_2024
DobleT,W5x16,30.19,12.7,0.914,12.7,8.89,0.61,887.0,139.0,5.41,157.0,313.0,49.2,3.23,74.9,7.91,10903.0,23.8,planilla_MC_2024
DobleT,W5x19,35.74,12.8,1.09,13.1,8.89,0.686,1091.0,167.0,5.51,190.0,380.0,59.5,3.25,90.6,12.9,13642.0,28.3,planilla_MC_2024
DobleT,W6x12,22.9,10.2,0.711,15.3,12.1,0.584,920.0,120.0,6.32,136.0,124.0,24.6,2.33,38.0,3.75,6633.0,17.9,planilla_MC_2024
DobleT,W6x15,28.58,15.2,0.66,15.2,12.1,0.584,1211.0,159.0,6.5,177.0,388.0,51.0,3.71,77.8,4.16,20543.0,22.3,planilla_MC_2024
DobleT,W6x16,30.58,10.2,1.03,16.0,12.1,0.66,1336.0,167.0,6.6,192.0,184.0,36.1,2.45,55.6,9.16,10258.0,23.8,planilla_MC_2024
DobleT,W6x20,37.87,15.3,0.927,15.7,12.1,0.66,1723.0,220.0,6.76,244.0,554.0,72.3,3.81,110.0,10.0,30345.0,29.8,planilla_MC_2024
DobleT,W6x25,47.35,15.4,1.16,16.2,12.1,0.813,2223.0,274.0,6.86,310.0,712.0,91.9,3.86,140.0,19.1,40280.0,37.2,planilla_MC_2024
DobleT,W6x9,17.29,10.0,0.546,15.0,12.1,0.432,683.0,91.0,6.27,102.0,91.2,18.2,2.3,28.2,1.66,4753.0,13.4,planilla_MC_2024
DobleT,W8x10,19.1,10.0,0.521,20.0,16.8,0.432,1282.0,128.0,8.18,145.0,87.0,17.4,2.14,27.2,1.66,8298.0,14.9,planilla_MC_2024
DobleT,W8x13,24.77,10.2,0.648,20.3,16.8,0.584,1648.0,162.0,8.15,187.0,114.0,22.5,2.14,35.2,3.75,10956.0,19.3,planilla_MC_2024
DobleT,W8x15,28.65,10.2,0.8,20.6,16.8,0.622,1998.0,193.0,8.36,223.0,142.0,27.9,2.23,43.8,5.83,13910.0,22.3,planilla_MC_2024
DobleT,W8x18,33.94,13.3,0.838,20.7,16.8,0.584,2576.0,249.0,8.71,279.0,332.0,49.8,3.12,76.4,7.08,32761.0,26.8,planilla_MC_2024
DobleT,W8x21,39.74,13.4,1.02,21.0,16.8,0.635,3134.0,298.0,8.86,334.0,407.0,60.8,3.2,93.2,11.7,40817.0,31.3,planilla_MC_2024
DobleT,W8x24,45.68,16.5,1.02,20.1,15.6,0.622,3446.0,342.0,8.69,380.0,762.0,92.3,4.09,140.0,14.6,69551.0,35.7,planilla_MC_2024
DobleT,W8x28,53.23,16.6,1.18,20.5,15.6,0.724,4079.0,398.0,8.76,446.0,903.0,109.0,4.11,166.0,22.5,83783.0,41.7,planilla_MC_2024
DobleT,W8x31,58.9,20.3,1.1,20.3,15.6,0.724,4579.0,451.0,8.81,498.0,1544.0,152.0,5.13,231.0,22.5,142324.0,46.1,planilla_MC_2024
DobleT,W8x35,66.45,20.4,1.26,20.6,15.6,0.787,5286.0,511.0,8.92,569.0,1773.0,174.0,5.16,264.0,32.0,166224.0,52.1,planilla_MC_2024
DobleT,W8x40,75.48,20.5,1.42,21.0,15.6,0.914,6077.0,582.0,8.97,652.0,2044.0,200.0,5.18,303.0,46.6,194957.0,59.5,planilla_MC_2024
DobleT,W8x48,90.97,20.6,1.74,21.6,15.6,1.02,7659.0,710.0,9.17,803.0,2535.0,246.0,5.28,375.0,81.6,250007.0,71.4,planilla_MC_2024
DobleT,W8x58,110.3,20.9,2.06,22.2,15.6,1.3,9490.0,852.0,9.27,980.0,3126.0,300.0,5.33,457.0,139.0,316872.0,86.3,planilla_MC_2024
DobleT,W8x67,127.1,21.0,2.37,22.9,15.6,1.45,11321.0,990.0,9.45,1150.0,3688.0,351.0,5.38,536.0,211.0,386692.0,99.7,planilla_MC_2024
